"show","week","year","atlas_text","fauci_text"
"CNN_Newsroom_With_Ana_Cabrera",50,2020,0,0
"CNN_Newsroom_With_Ana_Cabrera",51,2020,0,5
"CNN_Newsroom_With_Ana_Cabrera",52,2020,0,1
"CNN_Newsroom_With_Brooke_Baldwin",9,2020,0,1
"CNN_Newsroom_With_Brooke_Baldwin",11,2020,0,2
"CNN_Newsroom_With_Brooke_Baldwin",12,2020,0,0
"CNN_Newsroom_With_Brooke_Baldwin",13,2020,0,3
"CNN_Newsroom_With_Brooke_Baldwin",14,2020,0,0
"CNN_Newsroom_With_Brooke_Baldwin",15,2020,0,5
"CNN_Newsroom_With_Brooke_Baldwin",17,2020,0,1
"CNN_Newsroom_With_Brooke_Baldwin",19,2020,0,1
"CNN_Newsroom_With_Brooke_Baldwin",21,2020,0,1
"CNN_Newsroom_With_Brooke_Baldwin",22,2020,0,0
"CNN_Newsroom_With_Brooke_Baldwin",24,2020,0,2
"CNN_Newsroom_With_Brooke_Baldwin",25,2020,0,0
"CNN_Newsroom_With_Brooke_Baldwin",26,2020,0,3
"CNN_Newsroom_With_Brooke_Baldwin",27,2020,0,4
"CNN_Newsroom_With_Brooke_Baldwin",28,2020,0,4
"CNN_Newsroom_With_Brooke_Baldwin",29,2020,0,6
"CNN_Newsroom_With_Brooke_Baldwin",30,2020,0,6
"CNN_Newsroom_With_Brooke_Baldwin",31,2020,0,8
"CNN_Newsroom_With_Brooke_Baldwin",32,2020,0,4
"CNN_Newsroom_With_Brooke_Baldwin",35,2020,0,3
"CNN_Newsroom_With_Brooke_Baldwin",36,2020,0,6
"CNN_Newsroom_With_Brooke_Baldwin",37,2020,0,2
"CNN_Newsroom_With_Brooke_Baldwin",38,2020,0,0
"CNN_Newsroom_With_Brooke_Baldwin",45,2020,0,1
"CNN_Newsroom_With_Brooke_Baldwin",46,2020,0,0
"CNN_Newsroom_With_Brooke_Baldwin",47,2020,0,0
"CNN_Newsroom_With_Brooke_Baldwin",48,2020,0,0
"CNN_Newsroom_With_Brooke_Baldwin",49,2020,0,2
"CNN_Newsroom_With_Brooke_Baldwin",51,2020,0,1
"CNN_Newsroom_With_Brooke_Baldwin",52,2020,0,6
"CNN_Newsroom_With_Brooke_Baldwin",53,2020,0,0
"CNN_Newsroom_With_Fredricka_Whitfield",10,2020,0,0
"CNN_Newsroom_With_Fredricka_Whitfield",12,2020,0,0
"CNN_Newsroom_With_Fredricka_Whitfield",13,2020,0,0
"CNN_Newsroom_With_Fredricka_Whitfield",14,2020,0,0
"CNN_Newsroom_With_Fredricka_Whitfield",15,2020,0,1
"CNN_Newsroom_With_Fredricka_Whitfield",17,2020,0,0
"CNN_Newsroom_With_Fredricka_Whitfield",18,2020,0,0
"CNN_Newsroom_With_Fredricka_Whitfield",19,2020,0,4
"CNN_Newsroom_With_Fredricka_Whitfield",20,2020,0,1
"CNN_Newsroom_With_Fredricka_Whitfield",21,2020,0,1
"CNN_Newsroom_With_Fredricka_Whitfield",23,2020,0,0
"CNN_Newsroom_With_Fredricka_Whitfield",24,2020,0,4
"CNN_Newsroom_With_Fredricka_Whitfield",25,2020,0,0
"CNN_Newsroom_With_Fredricka_Whitfield",26,2020,0,0
"CNN_Newsroom_With_Fredricka_Whitfield",27,2020,0,0
"CNN_Newsroom_With_Fredricka_Whitfield",28,2020,0,1
"CNN_Newsroom_With_Fredricka_Whitfield",29,2020,0,6
"CNN_Newsroom_With_Fredricka_Whitfield",30,2020,0,8
"CNN_Newsroom_With_Fredricka_Whitfield",31,2020,0,0
"CNN_Newsroom_With_Fredricka_Whitfield",32,2020,0,0
"CNN_Newsroom_With_Fredricka_Whitfield",33,2020,0,4
"CNN_Newsroom_With_Fredricka_Whitfield",34,2020,0,0
"CNN_Newsroom_With_Fredricka_Whitfield",35,2020,0,0
"CNN_Newsroom_With_Fredricka_Whitfield",36,2020,2,4
"CNN_Newsroom_With_Fredricka_Whitfield",37,2020,1,5
"CNN_Newsroom_With_Fredricka_Whitfield",38,2020,0,1
"CNN_Newsroom_With_Fredricka_Whitfield",39,2020,0,1
"CNN_Newsroom_With_Fredricka_Whitfield",40,2020,0,0
"CNN_Newsroom_With_Fredricka_Whitfield",41,2020,0,1
"CNN_Newsroom_With_Fredricka_Whitfield",42,2020,0,5
"CNN_Newsroom_With_Fredricka_Whitfield",43,2020,0,4
"CNN_Newsroom_With_Fredricka_Whitfield",45,2020,0,1
"CNN_Newsroom_With_Fredricka_Whitfield",46,2020,0,1
"CNN_Newsroom_With_Fredricka_Whitfield",47,2020,0,2
"CNN_Newsroom_With_Fredricka_Whitfield",48,2020,0,2
"CNN_Newsroom_With_Fredricka_Whitfield",49,2020,0,0
"CNN_Newsroom_With_Fredricka_Whitfield",50,2020,0,1
"CNN_Newsroom_With_Fredricka_Whitfield",51,2020,0,0
"CNN_Newsroom_With_Fredricka_Whitfield",52,2020,0,2
