"network","week","wordcounts","show","year","death_text","health_text"
"cnn",29,3607,"CNN_Special_Report",2020,35,130
"cnn",30,272,"CNN_Special_Report",2020,4,2
"cnn",34,312,"CNN_Special_Report",2020,2,1
"cnn",36,2896,"CNN_Special_Report",2020,30,100
"cnn",37,861,"CNN_Special_Report",2020,10,35
"cnn",39,771,"CNN_Special_Report",2020,9,13
"cnn",41,325,"CNN_Special_Report",2020,6,6
"cnn",42,1142,"CNN_Special_Report",2020,16,18
"cnn",43,902,"CNN_Special_Report",2020,8,11
"cnn",44,833,"CNN_Special_Report",2020,12,10
"cnn",52,4191,"CNN_Special_Report",2020,45,165
"cnn",12,1792,"CNN_Tonight_with_Don_Lemon",2020,25,83
"cnn",13,3142,"CNN_Tonight_with_Don_Lemon",2020,43,98
"cnn",14,5123,"CNN_Tonight_with_Don_Lemon",2020,62,325
"cnn",15,2212,"CNN_Tonight_with_Don_Lemon",2020,29,112
"cnn",16,7228,"CNN_Tonight_with_Don_Lemon",2020,67,270
"cnn",17,4315,"CNN_Tonight_with_Don_Lemon",2020,34,134
"cnn",18,779,"CNN_Tonight_with_Don_Lemon",2020,10,24
"cnn",19,1015,"CNN_Tonight_with_Don_Lemon",2020,13,52
"cnn",20,2513,"CNN_Tonight_with_Don_Lemon",2020,29,160
"cnn",21,2969,"CNN_Tonight_with_Don_Lemon",2020,64,131
"cnn",22,3637,"CNN_Tonight_with_Don_Lemon",2020,84,101
"cnn",23,1117,"CNN_Tonight_with_Don_Lemon",2020,17,42
"cnn",24,418,"CNN_Tonight_with_Don_Lemon",2020,4,19
"cnn",25,2488,"CNN_Tonight_with_Don_Lemon",2020,17,96
"cnn",26,4452,"CNN_Tonight_with_Don_Lemon",2020,36,153
"cnn",28,9330,"CNN_Tonight_with_Don_Lemon",2020,112,454
"cnn",29,5466,"CNN_Tonight_with_Don_Lemon",2020,53,149
"cnn",30,5095,"CNN_Tonight_with_Don_Lemon",2020,70,150
"cnn",31,5194,"CNN_Tonight_with_Don_Lemon",2020,79,141
"cnn",32,1454,"CNN_Tonight_with_Don_Lemon",2020,19,33
"cnn",33,1625,"CNN_Tonight_with_Don_Lemon",2020,12,58
"cnn",34,573,"CNN_Tonight_with_Don_Lemon",2020,6,8
"cnn",35,2312,"CNN_Tonight_with_Don_Lemon",2020,54,80
"cnn",36,1050,"CNN_Tonight_with_Don_Lemon",2020,6,67
"cnn",37,2773,"CNN_Tonight_with_Don_Lemon",2020,39,65
"cnn",38,6029,"CNN_Tonight_with_Don_Lemon",2020,84,182
"cnn",39,4116,"CNN_Tonight_with_Don_Lemon",2020,52,133
"cnn",40,12972,"CNN_Tonight_with_Don_Lemon",2020,43,507
"cnn",41,2539,"CNN_Tonight_with_Don_Lemon",2020,19,86
"cnn",42,5406,"CNN_Tonight_with_Don_Lemon",2020,48,148
"cnn",43,1148,"CNN_Tonight_with_Don_Lemon",2020,27,42
"cnn",44,2613,"CNN_Tonight_with_Don_Lemon",2020,37,67
"cnn",46,2482,"CNN_Tonight_with_Don_Lemon",2020,22,111
"cnn",47,1056,"CNN_Tonight_with_Don_Lemon",2020,9,28
"cnn",48,1544,"CNN_Tonight_with_Don_Lemon",2020,6,69
"cnn",49,4908,"CNN_Tonight_with_Don_Lemon",2020,84,292
"cnn",50,2602,"CNN_Tonight_with_Don_Lemon",2020,46,122
"cnn",51,3257,"CNN_Tonight_with_Don_Lemon",2020,33,194
"cnn",52,1861,"CNN_Tonight_with_Don_Lemon",2020,17,55
"cnn",53,2515,"CNN_Tonight_with_Don_Lemon",2020,46,74
"cnn",10,2707,"CNN_Tonight_With_Don_Lemon",2020,12,80
"cnn",42,1230,"CNNI_Simulcast",2020,9,25
"cnn",10,2262,"Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall",2020,12,129
"cnn",11,3532,"Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall",2020,20,184
"cnn",13,6915,"Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall",2020,97,337
"cnn",14,3086,"Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall",2020,21,179
"cnn",15,1669,"Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall",2020,17,119
"cnn",16,5838,"Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall",2020,24,216
"cnn",19,1397,"Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall",2020,14,60
"cnn",20,447,"Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall",2020,6,19
"cnn",21,2308,"Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall",2020,16,92
