"fauci","cc","network","show","week","year"
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",40,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",41,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",42,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",43,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",44,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",45,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",46,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",47,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",48,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",49,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",50,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",51,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",52,2020
NA,NA,"cnn","Americas_Choice_2020_Super_Tuesday",53,2020
NA,NA,"cnn","Anderson_Cooper_360",9,2020
0,2,"cnn","Anderson_Cooper_360",10,2020
0,13,"cnn","Anderson_Cooper_360",11,2020
0,12,"cnn","Anderson_Cooper_360",12,2020
0,17,"cnn","Anderson_Cooper_360",13,2020
0,5,"cnn","Anderson_Cooper_360",14,2020
NA,NA,"cnn","Anderson_Cooper_360",15,2020
0,4,"cnn","Anderson_Cooper_360",16,2020
1,12,"cnn","Anderson_Cooper_360",17,2020
NA,NA,"cnn","Anderson_Cooper_360",18,2020
NA,NA,"cnn","Anderson_Cooper_360",19,2020
0,33,"cnn","Anderson_Cooper_360",20,2020
NA,NA,"cnn","Anderson_Cooper_360",21,2020
0,4,"cnn","Anderson_Cooper_360",22,2020
NA,NA,"cnn","Anderson_Cooper_360",23,2020
0,3,"cnn","Anderson_Cooper_360",24,2020
NA,NA,"cnn","Anderson_Cooper_360",25,2020
0,1,"cnn","Anderson_Cooper_360",26,2020
0,11,"cnn","Anderson_Cooper_360",27,2020
0,4,"cnn","Anderson_Cooper_360",28,2020
NA,NA,"cnn","Anderson_Cooper_360",29,2020
0,45,"cnn","Anderson_Cooper_360",30,2020
1,10,"cnn","Anderson_Cooper_360",31,2020
0,4,"cnn","Anderson_Cooper_360",32,2020
0,15,"cnn","Anderson_Cooper_360",33,2020
0,19,"cnn","Anderson_Cooper_360",34,2020
NA,NA,"cnn","Anderson_Cooper_360",35,2020
0,8,"cnn","Anderson_Cooper_360",36,2020
0,23,"cnn","Anderson_Cooper_360",37,2020
0,1,"cnn","Anderson_Cooper_360",38,2020
0,17,"cnn","Anderson_Cooper_360",39,2020
0,9,"cnn","Anderson_Cooper_360",40,2020
0,7,"cnn","Anderson_Cooper_360",41,2020
NA,NA,"cnn","Anderson_Cooper_360",42,2020
0,2,"cnn","Anderson_Cooper_360",43,2020
0,11,"cnn","Anderson_Cooper_360",44,2020
NA,NA,"cnn","Anderson_Cooper_360",45,2020
0,5,"cnn","Anderson_Cooper_360",46,2020
0,1,"cnn","Anderson_Cooper_360",47,2020
NA,NA,"cnn","Anderson_Cooper_360",48,2020
0,36,"cnn","Anderson_Cooper_360",49,2020
0,8,"cnn","Anderson_Cooper_360",50,2020
0,9,"cnn","Anderson_Cooper_360",51,2020
NA,NA,"cnn","Anderson_Cooper_360",52,2020
NA,NA,"cnn","Anderson_Cooper_360",53,2020
0,10,"cnn","At_This_Hour_With_Kate_Bolduan",9,2020
0,6,"cnn","At_This_Hour_With_Kate_Bolduan",10,2020
0,6,"cnn","At_This_Hour_With_Kate_Bolduan",11,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",12,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",13,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",14,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",15,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",16,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",17,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",18,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",19,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",20,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",21,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",22,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",23,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",24,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",25,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",26,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",27,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",28,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",29,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",30,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",31,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",32,2020
0,1,"cnn","At_This_Hour_With_Kate_Bolduan",33,2020
0,2,"cnn","At_This_Hour_With_Kate_Bolduan",34,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",35,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",36,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",37,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",38,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",39,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",40,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",41,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",42,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",43,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",44,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",45,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",46,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",47,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",48,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",49,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",50,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",51,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",52,2020
NA,NA,"cnn","At_This_Hour_With_Kate_Bolduan",53,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",9,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",10,2020
0,11,"cnn","CNN_Debate_Post_Analysis",11,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",12,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",13,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",14,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",15,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",16,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",17,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",18,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",19,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",20,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",21,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",22,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",23,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",24,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",25,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",26,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",27,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",28,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",29,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",30,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",31,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",32,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",33,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",34,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",35,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",36,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",37,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",38,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",39,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",40,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",41,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",42,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",43,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",44,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",45,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",46,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",47,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",48,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",49,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",50,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",51,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",52,2020
NA,NA,"cnn","CNN_Debate_Post_Analysis",53,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",9,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",10,2020
0,25,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",11,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",12,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",13,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",14,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",15,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",16,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",17,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",18,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",19,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",20,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",21,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",22,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",23,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",24,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",25,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",26,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",27,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",28,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",29,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",30,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",31,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",32,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",33,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",34,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",35,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",36,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",37,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",38,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",39,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",40,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",41,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",42,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",43,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",44,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",45,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",46,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",47,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",48,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",49,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",50,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",51,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",52,2020
NA,NA,"cnn","CNN_Global_Town_Hall_Coronavirus_Facts_and_Fears_with_Facebook_and...",53,2020
NA,NA,"cnn","CNN_Newsroom",9,2020
NA,NA,"cnn","CNN_Newsroom",10,2020
NA,NA,"cnn","CNN_Newsroom",11,2020
0,2,"cnn","CNN_Newsroom",12,2020
0,10,"cnn","CNN_Newsroom",13,2020
0,15,"cnn","CNN_Newsroom",14,2020
0,6,"cnn","CNN_Newsroom",15,2020
0,6,"cnn","CNN_Newsroom",16,2020
5,37,"cnn","CNN_Newsroom",17,2020
0,36,"cnn","CNN_Newsroom",18,2020
0,20,"cnn","CNN_Newsroom",19,2020
0,40,"cnn","CNN_Newsroom",20,2020
0,23,"cnn","CNN_Newsroom",21,2020
0,13,"cnn","CNN_Newsroom",22,2020
0,1,"cnn","CNN_Newsroom",23,2020
0,16,"cnn","CNN_Newsroom",24,2020
0,43,"cnn","CNN_Newsroom",25,2020
0,16,"cnn","CNN_Newsroom",26,2020
0,48,"cnn","CNN_Newsroom",27,2020
0,21,"cnn","CNN_Newsroom",28,2020
0,30,"cnn","CNN_Newsroom",29,2020
0,25,"cnn","CNN_Newsroom",30,2020
0,34,"cnn","CNN_Newsroom",31,2020
0,53,"cnn","CNN_Newsroom",32,2020
0,53,"cnn","CNN_Newsroom",33,2020
