"network","week","wordcounts","show","year","death_text","health_text","network2","week2","wc","cnn","msnbc","log_wc","cnn_times_week2","msnbc_times_week2","show_id"
"cnn",33,11659,"CNN_Newsroom",2020,112,439,"cnn",24,11659,1,0,9.36383369293329,24,0,6
"cnn",34,7163,"CNN_Newsroom",2020,68,211,"cnn",25,7163,1,0,8.87668416661445,25,0,6
"cnn",35,6086,"CNN_Newsroom",2020,70,249,"cnn",26,6086,1,0,8.71374633045692,26,0,6
"cnn",36,9443,"CNN_Newsroom",2020,140,404,"cnn",27,9443,1,0,9.15302900526307,27,0,6
"cnn",37,7884,"CNN_Newsroom",2020,77,202,"cnn",28,7884,1,0,8.97259066827261,28,0,6
"cnn",38,13708,"CNN_Newsroom",2020,176,533,"cnn",29,13708,1,0,9.5257348829945,29,0,6
"cnn",39,10154,"CNN_Newsroom",2020,109,423,"cnn",30,10154,1,0,9.22562299550734,30,0,6
"cnn",40,13147,"CNN_Newsroom",2020,65,418,"cnn",31,13147,1,0,9.4839488746966,31,0,6
"cnn",41,4013,"CNN_Newsroom",2020,17,140,"cnn",32,4013,1,0,8.29729437026692,32,0,6
"cnn",42,17030,"CNN_Newsroom",2020,146,670,"cnn",33,17030,1,0,9.74273177365673,33,0,6
"cnn",43,6758,"CNN_Newsroom",2020,95,216,"cnn",34,6758,1,0,8.81848226727424,34,0,6
"cnn",44,1869,"CNN_Newsroom",2020,41,82,"cnn",35,1869,1,0,7.53315880745556,35,0,6
"cnn",46,8319,"CNN_Newsroom",2020,109,359,"cnn",37,8319,1,0,9.02629733428389,37,0,6
"cnn",47,11866,"CNN_Newsroom",2020,134,533,"cnn",38,11866,1,0,9.38143244681859,38,0,6
"cnn",48,10616,"CNN_Newsroom",2020,93,400,"cnn",39,10616,1,0,9.27011757601204,39,0,6
"cnn",49,6053,"CNN_Newsroom",2020,72,300,"cnn",40,6053,1,0,8.70830929589169,40,0,6
"cnn",50,6368,"CNN_Newsroom",2020,59,367,"cnn",41,6368,1,0,8.75904072752422,41,0,6
